aggregation,formula,dimension,layers,training_mask,testing_mask,total_graphs,total_positive,total_negative,tries,train_total_correct,train_ratio_correct,train_total_positive_correct,train_ratio_positive_correct,train_total_negative_correct,train_ratio_negative_correct,test_total_correct,test_ratio_correct,test_total_positive_correct,test_ratio_positive_correct,test_total_negative_correct,test_ratio_negative_correct,accuracies_by_neighbor_ranges,num_epochs,progress
sum,psi_3,2,2,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,40713,33669,3(#005.txt),73872,0.9931,40565,0.9876,33307,1.0,73877,0.9932,40208,0.9876,33669,1.0,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.9713 | accuracy_on_positive=0.0000 | accuracy_on_negative=1.0
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.9644 | accuracy_on_positive=0.8927813163481954 | accuracy_on_negative=1.0
  [  8- 11] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 12- 15] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 16- 19] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.1898 
Train Acc: 55028/74382 (73.98%) 
Test Acc:  54773/74382 (73.64%) 
Train Positive Acc: 21721/41075 (52.88%) 
Test Positive Acc:  21104/40713 (51.84%) 
Train Negative Acc: 33307/33307 (100.00%) 
Test Negative Acc:  33669/33669 (100.00%) 

Epoch 002
Loss: 0.0533 
Train Acc: 66619/74382 (89.56%) 
Test Acc:  66453/74382 (89.34%) 
Train Positive Acc: 33312/41075 (81.10%) 
Test Positive Acc:  32784/40713 (80.52%) 
Train Negative Acc: 33307/33307 (100.00%) 
Test Negative Acc:  33669/33669 (100.00%) 

Epoch 003
Loss: 0.0263 
Train Acc: 69781/74382 (93.81%) 
Test Acc:  69742/74382 (93.76%) 
Train Positive Acc: 36474/41075 (88.80%) 
Test Positive Acc:  36073/40713 (88.60%) 
Train Negative Acc: 33307/33307 (100.00%) 
Test Negative Acc:  33669/33669 (100.00%) 

Epoch 004
Loss: 0.0177 
Train Acc: 72853/74382 (97.94%) 
Test Acc:  72864/74382 (97.96%) 
Train Positive Acc: 39546/41075 (96.28%) 
Test Positive Acc:  39195/40713 (96.27%) 
Train Negative Acc: 33307/33307 (100.00%) 
Test Negative Acc:  33669/33669 (100.00%) 

Epoch 005
Loss: 0.0138 
Train Acc: 73872/74382 (99.31%) 
Test Acc:  73877/74382 (99.32%) 
Train Positive Acc: 40565/41075 (98.76%) 
Test Positive Acc:  40208/40713 (98.76%) 
Train Negative Acc: 33307/33307 (100.00%) 
Test Negative Acc:  33669/33669 (100.00%) 

"
mean,psi_3,2,2,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,40713,33669,3(#006.txt),56135,0.7547,41075,1.0,15060,0.4522,56067,0.7538,40713,1.0,15354,0.456,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.4857 | accuracy_on_positive=0.0000 | accuracy_on_negative=0.5
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.4977 | accuracy_on_positive=1.0 | accuracy_on_negative=0.2475153309367731
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.7931 | accuracy_on_positive=1.0 | accuracy_on_negative=0.3995494573008396
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.9257 | accuracy_on_positive=1.0 | accuracy_on_negative=0.6321678321678321
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.9908 | accuracy_on_positive=1.0 | accuracy_on_negative=0.9322916666666666
  [ 20- 23] root neighbors | graphs=3542 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.3562 
Train Acc: 46561/74382 (62.60%) 
Test Acc:  45638/74382 (61.36%) 
Train Positive Acc: 40956/41075 (99.71%) 
Test Positive Acc:  40690/40713 (99.94%) 
Train Negative Acc: 5605/33307 (16.83%) 
Test Negative Acc:  4948/33669 (14.70%) 

Epoch 002
Loss: 0.2057 
Train Acc: 56158/74382 (75.50%) 
Test Acc:  56073/74382 (75.39%) 
Train Positive Acc: 41069/41075 (99.99%) 
Test Positive Acc:  40703/40713 (99.98%) 
Train Negative Acc: 15089/33307 (45.30%) 
Test Negative Acc:  15370/33669 (45.65%) 

Epoch 003
Loss: 0.1779 
Train Acc: 56222/74382 (75.59%) 
Test Acc:  56137/74382 (75.47%) 
Train Positive Acc: 41075/41075 (100.00%) 
Test Positive Acc:  40713/40713 (100.00%) 
Train Negative Acc: 15147/33307 (45.48%) 
Test Negative Acc:  15424/33669 (45.81%) 

Epoch 004
Loss: 0.1741 
Train Acc: 56172/74382 (75.52%) 
Test Acc:  56096/74382 (75.42%) 
Train Positive Acc: 41075/41075 (100.00%) 
Test Positive Acc:  40713/40713 (100.00%) 
Train Negative Acc: 15097/33307 (45.33%) 
Test Negative Acc:  15383/33669 (45.69%) 

Epoch 005
Loss: 0.1914 
Train Acc: 56135/74382 (75.47%) 
Test Acc:  56067/74382 (75.38%) 
Train Positive Acc: 41075/41075 (100.00%) 
Test Positive Acc:  40713/40713 (100.00%) 
Train Negative Acc: 15060/33307 (45.22%) 
Test Negative Acc:  15354/33669 (45.60%) 

"

max,psi_4,6,6,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,32314,42068,3(#007.txt),42434,0.5705,0,0.0,42434,1.0,42068,0.5656,0,0.0,42068,1.0,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.8000 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.2830 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.3912 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.5924 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.7112 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.7657 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.5887 
Train Acc: 42434/74382 (57.05%) 
Test Acc:  42068/74382 (56.56%) 
Train Positive Acc: 0/31948 (0.00%) 
Test Positive Acc:  0/32314 (0.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

Epoch 002
Loss: 0.5834 
Train Acc: 42434/74382 (57.05%) 
Test Acc:  42068/74382 (56.56%) 
Train Positive Acc: 0/31948 (0.00%) 
Test Positive Acc:  0/32314 (0.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

Epoch 003
Loss: 0.5824 
Train Acc: 42434/74382 (57.05%) 
Test Acc:  42068/74382 (56.56%) 
Train Positive Acc: 0/31948 (0.00%) 
Test Positive Acc:  0/32314 (0.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

Epoch 004
Loss: 0.5814 
Train Acc: 42434/74382 (57.05%) 
Test Acc:  42068/74382 (56.56%) 
Train Positive Acc: 0/31948 (0.00%) 
Test Positive Acc:  0/32314 (0.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

Epoch 005
Loss: 0.5807 
Train Acc: 42434/74382 (57.05%) 
Test Acc:  42068/74382 (56.56%) 
Train Positive Acc: 0/31948 (0.00%) 
Test Positive Acc:  0/32314 (0.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

"
sum,psi_4,6,6,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,32314,42068,3(#008.txt),71629,0.963,31948,1.0,39681,0.9351,71636,0.9631,32314,1.0,39322,0.9347,"  [  0-  3] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.9897 | accuracy_on_positive=1.0 | accuracy_on_negative=0.9635819406335745
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.9336 | accuracy_on_positive=1.0 | accuracy_on_negative=0.8302363341151001
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.9396 | accuracy_on_positive=1.0 | accuracy_on_negative=0.8980102466340999
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.9532 | accuracy_on_positive=1.0 | accuracy_on_negative=0.9342000793965859
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.9605 | accuracy_on_positive=1.0 | accuracy_on_negative=0.948377581120944
",5,"Epoch 001
Loss: 0.4941 
Train Acc: 42434/74382 (57.05%) 
Test Acc:  42068/74382 (56.56%) 
Train Positive Acc: 0/31948 (0.00%) 
Test Positive Acc:  0/32314 (0.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

Epoch 002
Loss: 0.3277 
Train Acc: 42434/74382 (57.05%) 
Test Acc:  42068/74382 (56.56%) 
Train Positive Acc: 0/31948 (0.00%) 
Test Positive Acc:  0/32314 (0.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

Epoch 003
Loss: 0.4254 
Train Acc: 42434/74382 (57.05%) 
Test Acc:  42068/74382 (56.56%) 
Train Positive Acc: 0/31948 (0.00%) 
Test Positive Acc:  0/32314 (0.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

Epoch 004
Loss: 0.3347 
Train Acc: 42434/74382 (57.05%) 
Test Acc:  42068/74382 (56.56%) 
Train Positive Acc: 0/31948 (0.00%) 
Test Positive Acc:  0/32314 (0.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

Epoch 005
Loss: 0.1304 
Train Acc: 71629/74382 (96.30%) 
Test Acc:  71636/74382 (96.31%) 
Train Positive Acc: 31948/31948 (100.00%) 
Test Positive Acc:  32314/32314 (100.00%) 
Train Negative Acc: 39681/42434 (93.51%) 
Test Negative Acc:  39322/42068 (93.47%) 

"
mean,psi_4,6,6,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,32314,42068,3(#009.txt),44894,0.6036,4906,0.1536,39988,0.9424,44034,0.592,4398,0.1361,39636,0.9422,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.7750 | accuracy_on_positive=0.0 | accuracy_on_negative=0.968681076312307
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.2385 | accuracy_on_positive=0.03396003543655872 | accuracy_on_negative=0.7567972062858568
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.4229 | accuracy_on_positive=0.11594202898550725 | accuracy_on_negative=0.9004149377593361
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.6658 | accuracy_on_positive=0.2315151515151515 | accuracy_on_negative=0.9646133682830931
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.8044 | accuracy_on_positive=0.36485826001955035 | accuracy_on_negative=0.9829297340214371
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.8058 | accuracy_on_positive=0.26867469879518074 | accuracy_on_negative=0.9701327433628318
",5,"Epoch 001
Loss: 0.5353 
Train Acc: 37907/74382 (50.96%) 
Test Acc:  38010/74382 (51.10%) 
Train Positive Acc: 4963/31948 (15.53%) 
Test Positive Acc:  5696/32314 (17.63%) 
Train Negative Acc: 32944/42434 (77.64%) 
Test Negative Acc:  32314/42068 (76.81%) 

Epoch 002
Loss: 0.1745 
Train Acc: 43027/74382 (57.85%) 
Test Acc:  42811/74382 (57.56%) 
Train Positive Acc: 9035/31948 (28.28%) 
Test Positive Acc:  9362/32314 (28.97%) 
Train Negative Acc: 33992/42434 (80.11%) 
Test Negative Acc:  33449/42068 (79.51%) 

Epoch 003
Loss: 0.1734 
Train Acc: 47670/74382 (64.09%) 
Test Acc:  47553/74382 (63.93%) 
Train Positive Acc: 8933/31948 (27.96%) 
Test Positive Acc:  9205/32314 (28.49%) 
Train Negative Acc: 38737/42434 (91.29%) 
Test Negative Acc:  38348/42068 (91.16%) 

Epoch 004
Loss: 0.2084 
Train Acc: 43615/74382 (58.64%) 
Test Acc:  43663/74382 (58.70%) 
Train Positive Acc: 11851/31948 (37.09%) 
Test Positive Acc:  12271/32314 (37.97%) 
Train Negative Acc: 31764/42434 (74.86%) 
Test Negative Acc:  31392/42068 (74.62%) 

Epoch 005
Loss: 0.0909 
Train Acc: 44894/74382 (60.36%) 
Test Acc:  44034/74382 (59.20%) 
Train Positive Acc: 4906/31948 (15.36%) 
Test Positive Acc:  4398/32314 (13.61%) 
Train Negative Acc: 39988/42434 (94.24%) 
Test Negative Acc:  39636/42068 (94.22%) 

"
max,psi_5,2,2,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,39832,34550,3(#010.txt),34049,0.4578,0,0.0,34049,1.0,34550,0.4645,0,0.0,34550,1.0,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.5751 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.4440 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.4365 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.4232 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.4433 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.4658 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.6130 
Train Acc: 34049/74382 (45.78%) 
Test Acc:  34550/74382 (46.45%) 
Train Positive Acc: 0/40333 (0.00%) 
Test Positive Acc:  0/39832 (0.00%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 002
Loss: 0.5735 
Train Acc: 34049/74382 (45.78%) 
Test Acc:  34550/74382 (46.45%) 
Train Positive Acc: 0/40333 (0.00%) 
Test Positive Acc:  0/39832 (0.00%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 003
Loss: 0.5597 
Train Acc: 34049/74382 (45.78%) 
Test Acc:  34550/74382 (46.45%) 
Train Positive Acc: 0/40333 (0.00%) 
Test Positive Acc:  0/39832 (0.00%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 004
Loss: 0.5540 
Train Acc: 34049/74382 (45.78%) 
Test Acc:  34550/74382 (46.45%) 
Train Positive Acc: 0/40333 (0.00%) 
Test Positive Acc:  0/39832 (0.00%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 005
Loss: 0.5507 
Train Acc: 34049/74382 (45.78%) 
Test Acc:  34550/74382 (46.45%) 
Train Positive Acc: 0/40333 (0.00%) 
Test Positive Acc:  0/39832 (0.00%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

"
sum,psi_5,2,2,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,39832,34550,3,39435,0.5302,5386,0.1335,34049,1.0,39582,0.5321,5032,0.1263,34550,1.0,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.5751 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.4440 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.4365 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.4747 | accuracy_on_positive=0.08920704845814978 | accuracy_on_negative=1.0
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.6659 | accuracy_on_positive=0.399898567262584 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.7902 | accuracy_on_positive=0.607293868921776 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.3653 
Train Acc: 34049/74382 (45.78%) 
Test Acc:  34550/74382 (46.45%) 
Train Positive Acc: 0/40333 (0.00%) 
Test Positive Acc:  0/39832 (0.00%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 002
Loss: 0.2392 
Train Acc: 34049/74382 (45.78%) 
Test Acc:  34550/74382 (46.45%) 
Train Positive Acc: 0/40333 (0.00%) 
Test Positive Acc:  0/39832 (0.00%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 003
Loss: 0.2052 
Train Acc: 34049/74382 (45.78%) 
Test Acc:  34550/74382 (46.45%) 
Train Positive Acc: 0/40333 (0.00%) 
Test Positive Acc:  0/39832 (0.00%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 004
Loss: 0.1955 
Train Acc: 34049/74382 (45.78%) 
Test Acc:  34550/74382 (46.45%) 
Train Positive Acc: 0/40333 (0.00%) 
Test Positive Acc:  0/39832 (0.00%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 005
Loss: 0.2020 
Train Acc: 39435/74382 (53.02%) 
Test Acc:  39582/74382 (53.21%) 
Train Positive Acc: 5386/40333 (13.35%) 
Test Positive Acc:  5032/39832 (12.63%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

"
sum,psi_5,2,2,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,39832,34550,1,70295,0.9451,38017,0.9426,32278,0.948,70276,0.9448,37497,0.9414,32779,0.9487,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.8375 | accuracy_on_positive=0.9117940199335548 | accuracy_on_negative=0.7826460481099656
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.9857 | accuracy_on_positive=0.9742287672971943 | accuracy_on_negative=1.0
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.9712 | accuracy_on_positive=0.9488977955911824 | accuracy_on_negative=1.0
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.9530 | accuracy_on_positive=0.9185022026431718 | accuracy_on_negative=1.0
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.9628 | accuracy_on_positive=0.9331811842272093 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.1342 
Train Acc: 68204/74382 (91.69%) 
Test Acc:  68186/74382 (91.67%) 
Train Positive Acc: 35926/40333 (89.07%) 
Test Positive Acc:  35407/39832 (88.89%) 
Train Negative Acc: 32278/34049 (94.80%) 
Test Negative Acc:  32779/34550 (94.87%) 

Epoch 002
Loss: 0.0769 
Train Acc: 70142/74382 (94.30%) 
Test Acc:  70125/74382 (94.28%) 
Train Positive Acc: 37864/40333 (93.88%) 
Test Positive Acc:  37346/39832 (93.76%) 
Train Negative Acc: 32278/34049 (94.80%) 
Test Negative Acc:  32779/34550 (94.87%) 

Epoch 003
Loss: 0.0624 
Train Acc: 70147/74382 (94.31%) 
Test Acc:  70129/74382 (94.28%) 
Train Positive Acc: 37869/40333 (93.89%) 
Test Positive Acc:  37350/39832 (93.77%) 
Train Negative Acc: 32278/34049 (94.80%) 
Test Negative Acc:  32779/34550 (94.87%) 

Epoch 004
Loss: 0.0575 
Train Acc: 70518/74382 (94.81%) 
Test Acc:  70500/74382 (94.78%) 
Train Positive Acc: 38240/40333 (94.81%) 
Test Positive Acc:  37721/39832 (94.70%) 
Train Negative Acc: 32278/34049 (94.80%) 
Test Negative Acc:  32779/34550 (94.87%) 

Epoch 005
Loss: 0.0558 
Train Acc: 70295/74382 (94.51%) 
Test Acc:  70276/74382 (94.48%) 
Train Positive Acc: 38017/40333 (94.26%) 
Test Positive Acc:  37497/39832 (94.14%) 
Train Negative Acc: 32278/34049 (94.80%) 
Test Negative Acc:  32779/34550 (94.87%) 

"
mean,psi_5,2,2,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,39832,34550,1,72634,0.9765,38585,0.9567,34049,1.0,72629,0.9764,38079,0.956,34550,1.0,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.9938 | accuracy_on_positive=0.9853820598006644 | accuracy_on_negative=1.0
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.9975 | accuracy_on_positive=0.9955566840167577 | accuracy_on_negative=1.0
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.9702 | accuracy_on_positive=0.9471442885771543 | accuracy_on_negative=1.0
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.9524 | accuracy_on_positive=0.9174008810572687 | accuracy_on_negative=1.0
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.9624 | accuracy_on_positive=0.9324204386965893 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.3944 
Train Acc: 65854/74382 (88.53%) 
Test Acc:  66007/74382 (88.74%) 
Train Positive Acc: 31805/40333 (78.86%) 
Test Positive Acc:  31457/39832 (78.97%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 002
Loss: 0.1046 
Train Acc: 68450/74382 (92.02%) 
Test Acc:  68513/74382 (92.11%) 
Train Positive Acc: 34401/40333 (85.29%) 
Test Positive Acc:  33963/39832 (85.27%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 003
Loss: 0.0582 
Train Acc: 70614/74382 (94.93%) 
Test Acc:  70702/74382 (95.05%) 
Train Positive Acc: 36565/40333 (90.66%) 
Test Positive Acc:  36152/39832 (90.76%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 004
Loss: 0.0407 
Train Acc: 72168/74382 (97.02%) 
Test Acc:  72187/74382 (97.05%) 
Train Positive Acc: 38119/40333 (94.51%) 
Test Positive Acc:  37637/39832 (94.49%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

Epoch 005
Loss: 0.0314 
Train Acc: 72634/74382 (97.65%) 
Test Acc:  72629/74382 (97.64%) 
Train Positive Acc: 38585/40333 (95.67%) 
Test Positive Acc:  38079/39832 (95.60%) 
Train Negative Acc: 34049/34049 (100.00%) 
Test Negative Acc:  34550/34550 (100.00%) 

"
