aggregation;formula;dimension;layers;train_source;train_size_range;test_source;test_size_range;num_epochs;has_progress_log;final_train_acc;final_test_acc;acc_size_1-10;acc_size_11-20;acc_size_21-30;acc_size_31-40;acc_size_41-50;acc_size_51-60;acc_size_61-70;acc_size_71-80;acc_size_81-90;acc_size_91-100;acc_set_RG;acc_set_CG;acc_set_HC
mean;psi_17;5;5;RG;1-50;RG;51-100;2000;TRUE;0,6964;0,7963;;;;;;0,7726;0,7781;0,8167;0,792;0,8104;0,7703;0,672;0,6769
mean;psi_18;2;2;RG;1-50;RG;51-100;2000;TRUE;0,9138;0,9992;;;;;;0,9964;1;0,9987;1;1;0,977;0,3784;0,8566
mean;psi_18;3;3;RG;1-50;RG;51-100;2000;TRUE;0,9275;0,9995;;;;;;0,9982;1;0,9987;1;1;0,9808;0,5295;0,8785
mean;psi_18;4;4;RG;1-50;RG;51-100;2000;TRUE;0,9428;0,9995;;;;;;0,9982;1;0,9987;1;1;0,9847;0,7747;0,8987
mean;psi_18;5;5;RG;1-50;RG;51-100;2000;TRUE;0,9428;0,9997;;;;;;0,9982;1;1;1;1;0,9849;0,4288;0,8951
mean;psi_18;6;6;RG;1-50;RG;51-100;2000;TRUE;0,9077;0,9992;;;;;;0,9964;1;0,9987;1;1;0,9754;0,3784;0,8495
mean;psi_19;2;2;RG;1-50;RG;51-100;2000;TRUE;0,5721;0,7213;;;;;;0,6968;0,7211;0,7089;0,7352;0,7331;0,6825;0,7578;0,4416
mean;psi_19;3;3;RG;1-50;RG;51-100;2000;TRUE;0,6499;0,7242;;;;;;0,7004;0,7211;0,7129;0,7352;0,7394;0,7049;0,6623;0,5991
mean;psi_19;4;4;RG;1-50;RG;51-100;2000;TRUE;0,6392;0,7234;;;;;;0,7004;0,7211;0,7089;0,7352;0,7394;0,7015;0,7578;0,5746
mean;psi_19;5;5;RG;1-50;RG;51-100;2000;TRUE;0,6308;0,7234;;;;;;0,7004;0,7211;0,7089;0,7352;0,7394;0,6994;0,7578;0,5554
mean;psi_19;6;6;RG;1-50;RG;51-100;2000;TRUE;0,6377;0,7234;;;;;;0,7004;0,7211;0,7089;0,7352;0,7394;0,7011;0,7578;0,5728
max;psi_17;2;2;CG;1-50;CG;51-100;2000;TRUE;0,9296;0,9173;;;;;;0,9014;0,8971;0,9156;0,9324;0,928;0,782;0,9204;0,7403
max;psi_17;3;3;CG;1-50;CG;51-100;2000;TRUE;0,5321;0,5274;;;;;;0,5125;0,5038;0,5277;0,5431;0,5376;0,7545;0,5286;0,5712
max;psi_17;4;4;CG;1-50;CG;51-100;2000;TRUE;0,9358;0,9331;;;;;;0,9122;0,914;0,9327;0,9464;0,9468;0,7487;0,9338;0,5716
max;psi_17;5;5;CG;1-50;CG;51-100;2000;TRUE;0,9296;0,9173;;;;;;0,9014;0,8971;0,9156;0,9324;0,928;0,7749;0,9204;0,7229
max;psi_18;2;2;CG;1-50;CG;51-100;2000;TRUE;0,903;0,8966;;;;;;0,8996;0,9017;0,8918;0,8939;0,8977;0,7079;0,8982;0,5736
max;psi_18;3;3;CG;1-50;CG;51-100;2000;TRUE;0,9022;0,8951;;;;;;0,8871;0,8817;0,8865;0,8986;0,9123;0,5824;0,8969;0,5485
max;psi_18;4;4;CG;1-50;CG;51-100;2000;TRUE;0,9757;0,9749;;;;;;0,9677;0,9785;0,9776;0,979;0,9708;0,9477;0,9751;0,8266
max;psi_18;5;5;CG;1-50;CG;51-100;2000;TRUE;0,9757;0,9849;;;;;;0,9785;0,9923;0,9921;0,9883;0,9749;0,9457;0,9826;0,7116
max;psi_18;6;6;CG;1-50;CG;51-100;2000;TRUE;0,9844;0,9759;;;;;;0,991;1;0,9868;0,965;0,952;0,7848;0,9781;0,524
max;psi_19;2;2;CG;1-50;CG;51-100;2000;TRUE;0,8106;0,8221;;;;;;0,8351;0,8418;0,7823;0,8287;0,8267;0,6744;0,8192;0,4705
max;psi_19;3;3;CG;1-50;CG;51-100;2000;TRUE;0,9171;0,9196;;;;;;0,9409;0,874;0,9077;0,9417;0,928;0,5121;0,919;0,3836
max;psi_19;4;4;CG;1-50;CG;51-100;2000;TRUE;0,9045;0,9233;;;;;;0,9068;0,9124;0,9604;0,9172;0,9165;0,373;0,9186;0,4375
max;psi_19;5;5;CG;1-50;CG;51-100;2000;TRUE;0,8951;0,875;;;;;;0,8996;0,8326;0,8628;0,8951;0,881;0,6764;0,8801;0,4448
max;psi_19;6;6;CG;1-50;CG;51-100;2000;TRUE;0,9311;0,9405;;;;;;0,9606;0,8786;0,9156;0,9697;0,9645;0,6829;0,9382;0,4345
sum;psi_17;2;2;CG;1-50;CG;51-100;2000;TRUE;0,9296;0,9173;;;;;;0,9014;0,8971;0,9156;0,9324;0,928;0,7804;0,9204;0,7529
sum;psi_17;3;3;CG;1-50;CG;51-100;2000;TRUE;0,9296;0,917;;;;;;0,8996;0,8971;0,9156;0,9324;0,928;0,7693;0,9202;0,6856
sum;psi_17;4;4;CG;1-50;CG;51-100;2000;TRUE;0,9202;0,917;;;;;;0,8996;0,8971;0,9156;0,9324;0,928;0,3799;0,9178;0,4061
