aggregation;formula;dimension;layers;train_source;train_size_range;test_source;test_size_range;num_epochs;has_progress_log;final_train_acc;final_test_acc;acc_size_1-10;acc_size_11-20;acc_size_21-30;acc_size_31-40;acc_size_41-50;acc_size_51-60;acc_size_61-70;acc_size_71-80;acc_size_81-90;acc_size_91-100;acc_set_RG;acc_set_CG;acc_set_HC
mean;psi_17;3;3;all;1-50;all;51-100;2000;TRUE;0,8186;0,83;;;;;;0,7939;0,8315;0,8321;0,8277;0,8511;0,7878;0,9204;0,7731
mean;psi_17;4;4;all;1-50;all;51-100;2000;TRUE;0,8194;0,8297;;;;;;0,7974;0,8315;0,829;0,8245;0,8528;0,7878;0,9204;0,7729
mean;psi_17;5;5;all;1-50;all;51-100;2000;TRUE;0,5667;0,6355;;;;;;0,6054;0,6434;0,6028;0,6565;0,6549;0,7545;0,5286;0,5712
mean;psi_18;2;2;all;1-50;all;51-100;2000;TRUE;0,8134;0,8961;;;;;;0,9061;0,8981;0,8685;0,9168;0,8919;0,9584;0,9109;0,7559
mean;psi_18;3;3;all;1-50;all;51-100;2000;TRUE;0,8748;0,9237;;;;;;0,9079;0,9283;0,9316;0,9207;0,9264;0,976;0,8688;0,889
mean;psi_18;4;4;all;1-50;all;51-100;2000;TRUE;0,6101;0,7097;;;;;;0,7118;0,7157;0,6895;0,728;0,7039;0,9568;0,3784;0,7183
mean;psi_18;5;5;all;1-50;all;51-100;2000;TRUE;0,9244;0,9443;;;;;;0,9457;0,9467;0,9498;0,9422;0,9394;0,9867;0,8726;0,9585
mean;psi_18;6;6;all;1-50;all;51-100;2000;TRUE;0,928;0,9449;;;;;;0,9504;0,9472;0,9494;0,9426;0,9387;0,9881;0,8726;0,9613
mean;psi_19;2;2;all;1-50;all;51-100;2000;TRUE;0,6039;0,6353;;;;;;0,6751;0,6317;0,5869;0,6655;0,6254;0,6827;0,7578;0,4416
mean;psi_19;3;3;all;1-50;all;51-100;2000;TRUE;0,6212;0,6466;;;;;;0,7005;0,6434;0,5931;0,6753;0,6331;0,6837;0,7625;0,4742
mean;psi_19;4;4;all;1-50;all;51-100;2000;TRUE;0,6039;0,6352;;;;;;0,6751;0,6317;0,5864;0,6655;0,6254;0,6825;0,7578;0,4416
mean;psi_19;5;5;all;1-50;all;51-100;2000;TRUE;0,7796;0,7586;;;;;;0,7785;0,73;0,7499;0,7644;0,768;0,7126;0,9393;0,6397
mean;psi_19;6;6;all;1-50;all;51-100;2000;TRUE;0,7675;0,7345;;;;;;0,7572;0,73;0,7312;0,7351;0,7261;0,7126;0,8528;0,6632
